measure,f1,f2,f3
li,-0.05468888888888879,0.52,3.0
li,0.020199999999999996,0.18,3.0
li,-0.8888888888888888,1.0,2.0
li,-0.8888888888888888,1.0,2.0
li,0.0,0.0,1.0
li,0.0040000000000000036,0.18,2.0
li,0.011111111111111183,0.1,2.0
li,-0.8689999999999999,0.99,2.0
li,-0.8493333333333332,0.98,2.0
li,-0.8298888888888888,0.97,2.0
li,-0.7916666666666666,0.95,2.0
li,-0.8106666666666666,0.96,2.0
li,-0.7916666666666666,0.95,2.0
li,-0.7728888888888887,0.94,2.0
li,-0.7728888888888887,0.94,2.0
li,-0.7543333333333334,0.93,2.0
li,-0.7178888888888889,0.91,2.0
li,-0.736,0.92,2.0
li,-0.7,0.9,2.0
li,-0.7178888888888889,0.91,2.0
li,-0.7,0.9,2.0
li,-0.6823333333333333,0.89,2.0
li,-0.6823333333333333,0.89,2.0
li,-0.6648888888888889,0.88,2.0
li,-0.5973333333333332,0.84,2.0
li,-0.5333333333333334,0.8,2.0
li,-0.549,0.81,2.0
li,-0.5333333333333334,0.8,2.0
li,-0.517888888888889,0.79,2.0
li,-0.5026666666666667,0.78,2.0
li,-0.517888888888889,0.79,2.0
li,-0.5026666666666667,0.78,2.0
li,-0.4876666666666666,0.77,2.0
li,-0.4876666666666666,0.77,2.0
li,-0.2138888888888889,0.55,2.0
li,-0.4728888888888888,0.76,2.0
li,-0.45833333333333326,0.75,2.0
li,-0.44399999999999995,0.74,2.0
li,-0.45833333333333326,0.75,2.0
li,-0.44399999999999995,0.74,2.0
li,-0.42988888888888876,0.73,2.0
li,-0.07599999999999996,0.38,2.0
li,-0.42988888888888876,0.73,2.0
li,-0.19433333333333325,0.53,2.0
li,-0.08233333333333337,0.39,2.0
li,-0.4159999999999999,0.72,2.0
li,-0.4023333333333333,0.71,2.0
li,-0.38888888888888884,0.7,2.0
li,-0.4023333333333333,0.71,2.0
li,-0.3691333333333333,0.98,3.0
li,-0.3219333333333333,0.9299999999999999,3.0
li,-0.033333333333333215,0.3,2.0
li,0.005666666666666709,0.17,2.0
li,-0.10988888888888881,0.43,2.0
